file_name,weight,accuracy
file_name,weight,accuracy
file_name,weight,accuracy
file_name,weight,accuracy
file_name,weight,accuracy
file_name,weight,accuracy
Coffee,"(0, 0, 1)",0.5357142857142857
Coffee,"(0, 0, 2)",0.5357142857142857
Coffee,"(0, 0, 3)",0.5357142857142857
Coffee,"(0, 1, 1)",0.6428571428571429
Coffee,"(0, 1, 2)",0.6785714285714286
Coffee,"(0, 1, 3)",0.6785714285714286
Coffee,"(0, 2, 1)",0.6785714285714286
Coffee,"(0, 2, 2)",0.6428571428571429
Coffee,"(0, 2, 3)",0.6785714285714286
Coffee,"(0, 3, 1)",0.6785714285714286
Coffee,"(0, 3, 2)",0.6785714285714286
Coffee,"(0, 3, 3)",0.6428571428571429
Coffee,"(1, 0, 0)",0.5357142857142857
Coffee,"(1, 0, 2)",0.5357142857142857
Coffee,"(1, 0, 3)",0.5357142857142857
Coffee,"(1, 1, 0)",0.8214285714285714
Coffee,"(1, 1, 2)",0.7857142857142857
Coffee,"(1, 1, 3)",0.7857142857142857
Coffee,"(1, 2, 0)",0.8214285714285714
Coffee,"(1, 2, 2)",0.75
Coffee,"(1, 2, 3)",0.75
Coffee,"(1, 3, 0)",0.8214285714285714
Coffee,"(1, 3, 2)",0.7142857142857143
Coffee,"(1, 3, 3)",0.7142857142857143
Coffee,"(2, 0, 0)",0.5357142857142857
Coffee,"(2, 0, 1)",0.5357142857142857
Coffee,"(2, 0, 3)",0.5357142857142857
Coffee,"(2, 1, 0)",0.8214285714285714
Coffee,"(2, 1, 1)",0.8214285714285714
Coffee,"(2, 1, 3)",0.7857142857142857
Coffee,"(2, 2, 0)",0.8214285714285714
Coffee,"(2, 2, 1)",0.8214285714285714
Coffee,"(2, 2, 3)",0.7857142857142857
Coffee,"(2, 3, 0)",0.8214285714285714
Coffee,"(2, 3, 1)",0.7857142857142857
Coffee,"(2, 3, 3)",0.7857142857142857
Coffee,"(3, 0, 0)",0.5357142857142857
Coffee,"(3, 0, 1)",0.5357142857142857
Coffee,"(3, 0, 2)",0.5357142857142857
Coffee,"(3, 1, 0)",0.75
Coffee,"(3, 1, 1)",0.7857142857142857
Coffee,"(3, 1, 2)",0.7857142857142857
Coffee,"(3, 2, 0)",0.8214285714285714
Coffee,"(3, 2, 1)",0.8214285714285714
Coffee,"(3, 2, 2)",0.8214285714285714
Coffee,"(3, 3, 0)",0.8214285714285714
Coffee,"(3, 3, 1)",0.8214285714285714
Coffee,"(3, 3, 2)",0.8214285714285714
50words,"(0, 0, 1)",0.02857142857142857
50words,"(0, 0, 2)",0.02857142857142857
50words,"(0, 0, 3)",0.02857142857142857
50words,"(0, 1, 1)",0.18681318681318682
50words,"(0, 1, 2)",0.22417582417582418
50words,"(0, 1, 3)",0.26373626373626374
50words,"(0, 2, 1)",0.18681318681318682
50words,"(0, 2, 2)",0.18681318681318682
