file_name,weight,accuracy
Coffee,"(1, 1, 1)",0.8214285714285714
50words,"(1, 1, 1)",0.7164835164835165
Beef,"(1, 1, 1)",0.5
Gun_Point,"(1, 1, 1)",0.88
